Category Code,Category Path,Name,Full Code,Can Be Auctioned,Can Be Classified,Durations,Tradevine Caters for this Category
1443,Antiques-collectables > Advertising,Advertising,187-1443,Yes,No,"2,3,4,5,6,7,10",Yes
4296,Antiques-collectables > Alcohol-related > Beer-related > English-Beer,English Beer,187-442-2109-4296,Yes,No,"2,3,4,5,6,7,10",Yes
4295,Antiques-collectables > Alcohol-related > Beer-related > NZ-Beer,NZ Beer,187-442-2109-4295,Yes,No,"2,3,4,5,6,7,10",Yes
4298,Antiques-collectables > Alcohol-related > Beer-related > Other,Other,187-442-2109-4298,Yes,No,"2,3,4,5,6,7,10",Yes
4297,Antiques-collectables > Alcohol-related > Beer-related > US-Beer,US Beer,187-442-2109-4297,Yes,No,"2,3,4,5,6,7,10",Yes
2116,Antiques-collectables > Alcohol-related > Other,Other,187-442-2116,Yes,No,"2,3,4,5,6,7,10",Yes
2112,Antiques-collectables > Alcohol-related > Spirits-related > Bourbon,Bourbon,187-442-2110-2112,Yes,No,"2,3,4,5,6,7,10",Yes
4293,Antiques-collectables > Alcohol-related > Spirits-related > Gin,Gin,187-442-2110-4293,Yes,No,"2,3,4,5,6,7,10",Yes
2114,Antiques-collectables > Alcohol-related > Spirits-related > Other,Other,187-442-2110-2114,Yes,No,"2,3,4,5,6,7,10",Yes
4292,Antiques-collectables > Alcohol-related > Spirits-related > Rum,Rum,187-442-2110-4292,Yes,No,"2,3,4,5,6,7,10",Yes
4294,Antiques-collectables > Alcohol-related > Spirits-related > Vodka,Vodka,187-442-2110-4294,Yes,No,"2,3,4,5,6,7,10",Yes
2113,Antiques-collectables > Alcohol-related > Spirits-related > Whiskey,Whiskey,187-442-2110-2113,Yes,No,"2,3,4,5,6,7,10",Yes
2115,Antiques-collectables > Alcohol-related > Wine-related,Wine related,187-442-2115,Yes,No,"2,3,4,5,6,7,10",Yes
3209,Antiques-collectables > Appliances,Appliances,187-3209,Yes,No,"2,3,4,5,6,7,10",Yes
2674,Antiques-collectables > Art-deco-retro > Appliances,Appliances,187-2192-2674,Yes,No,"2,3,4,5,6,7,10",Yes
2675,Antiques-collectables > Art-deco-retro > Art,Art,187-2192-2675,Yes,No,"2,3,4,5,6,7,10",Yes
